band1,band2,audio,timestamp,output
13811712.0,9502720.0,13746176.0,1463780449307.0,1.0
13811712.0,9502720.0,13746176.0,1463780449307.0,1.0
13811712.0,9502720.0,13746176.0,1463780449307.0,1.0
13811712.0,9355264.0,12943360.0,1463780449316.0,1.0
13811712.0,9355264.0,12943360.0,1463780449321.0,1.0
13811712.0,9355264.0,12943360.0,1463780449322.0,1.0
13811712.0,9371648.0,13664256.0,1463780449352.0,1.0
13811712.0,9371648.0,13664256.0,1463780449352.0,1.0
13811712.0,9371648.0,13664256.0,1463780449352.0,1.0
13811712.0,9355264.0,13942784.0,1463780449398.0,1.0
13811712.0,9355264.0,13942784.0,1463780449398.0,1.0
13811712.0,9355264.0,13942784.0,1463780449398.0,1.0
13811712.0,9388032.0,13369344.0,1463780449403.0,1.0
13811712.0,9388032.0,13369344.0,1463780449404.0,1.0
13811712.0,9388032.0,13369344.0,1463780449407.0,1.0
13811712.0,9256960.0,12058624.0,1463780449442.0,1.0
13811712.0,9256960.0,12058624.0,1463780449442.0,1.0
13811712.0,8585216.0,13271040.0,1463780449447.0,1.0
13811712.0,9256960.0,12058624.0,1463780449442.0,1.0
13811712.0,8585216.0,13271040.0,1463780449448.0,1.0
13811712.0,8585216.0,13271040.0,1463780449464.0,1.0
13811712.0,8519680.0,11993088.0,1463780449488.0,1.0
13811712.0,8519680.0,11993088.0,1463780449488.0,1.0
13811712.0,8519680.0,11993088.0,1463780449490.0,1.0
13811712.0,8634368.0,13746176.0,1463780449580.0,1.0
13811712.0,8634368.0,13746176.0,1463780449580.0,1.0
13811712.0,8634368.0,13746176.0,1463780449581.0,1.0
13811712.0,8355840.0,13729792.0,1463780449587.0,1.0
13811712.0,8355840.0,13729792.0,1463780449589.0,1.0
13811712.0,8355840.0,13729792.0,1463780449588.0,1.0
13811712.0,8470528.0,11878400.0,1463780449594.0,1.0
13811712.0,8470528.0,11878400.0,1463780449597.0,1.0
13811712.0,8470528.0,11878400.0,1463780449598.0,1.0
13811712.0,8568832.0,13697024.0,1463780449623.0,1.0
13811712.0,8568832.0,13697024.0,1463780449623.0,1.0
13811712.0,8568832.0,13697024.0,1463780449622.0,1.0
13811712.0,8683520.0,14024704.0,1463780449630.0,1.0
13811712.0,8683520.0,14024704.0,1463780449633.0,1.0
13811712.0,8683520.0,14024704.0,1463780449636.0,1.0
13811712.0,8454144.0,13189120.0,1463780449668.0,1.0
13811712.0,8454144.0,13189120.0,1463780449667.0,1.0
13811712.0,8454144.0,13189120.0,1463780449668.0,1.0
13811712.0,7798784.0,13893632.0,1463780449712.0,1.0
13811712.0,7798784.0,13893632.0,1463780449713.0,1.0
13811712.0,7798784.0,13893632.0,1463780449713.0,1.0
13811712.0,7946240.0,13402112.0,1463780449720.0,1.0
13811712.0,7946240.0,13402112.0,1463780449727.0,1.0
13811712.0,7946240.0,13402112.0,1463780449727.0,1.0
13811712.0,8273920.0,13565952.0,1463780449760.0,1.0
13811712.0,8273920.0,13565952.0,1463780449760.0,1.0
13811712.0,8273920.0,13565952.0,1463780449759.0,1.0
13811712.0,8257536.0,11993088.0,1463780449772.0,1.0
13811712.0,8257536.0,11993088.0,1463780449772.0,1.0
13811712.0,8257536.0,11993088.0,1463780449775.0,1.0
13811712.0,8404992.0,12615680.0,1463780449802.0,1.0
13811712.0,8404992.0,12615680.0,1463780449802.0,1.0
13811712.0,8404992.0,12615680.0,1463780449802.0,1.0
13811712.0,8388608.0,13565952.0,1463780449847.0,1.0
13811712.0,8388608.0,13565952.0,1463780449848.0,1.0
13811712.0,8388608.0,13565952.0,1463780449847.0,1.0
13811712.0,8732672.0,13631488.0,1463780449862.0,1.0
13811712.0,8732672.0,13631488.0,1463780449863.0,1.0
13811712.0,8732672.0,13631488.0,1463780449870.0,1.0
13811712.0,8749056.0,10321920.0,1463780449892.0,1.0
13811712.0,8749056.0,10321920.0,1463780449892.0,1.0
13811712.0,8749056.0,10321920.0,1463780449892.0,1.0
13811712.0,8781824.0,13664256.0,1463780449938.0,1.0
13811712.0,8781824.0,13664256.0,1463780449939.0,1.0
13811712.0,8781824.0,13664256.0,1463780449937.0,1.0
13811712.0,8699904.0,13697024.0,1463780449944.0,1.0
13811712.0,8699904.0,13697024.0,1463780449948.0,1.0
13811712.0,8699904.0,13697024.0,1463780449957.0,1.0
13811712.0,8536064.0,10600448.0,1463780449982.0,1.0
13811712.0,8536064.0,10600448.0,1463780449982.0,1.0
13811712.0,8536064.0,10600448.0,1463780449982.0,1.0
13795328.0,6995968.0,14008320.0,1463780450027.0,1.0
13795328.0,6995968.0,14008320.0,1463780450027.0,1.0
13795328.0,6995968.0,14008320.0,1463780450027.0,1.0
13795328.0,7159808.0,12926976.0,1463780450035.0,1.0
13795328.0,7159808.0,12926976.0,1463780450038.0,1.0
13795328.0,7159808.0,12926976.0,1463780450040.0,1.0
13795328.0,6979584.0,13680640.0,1463780450073.0,1.0
13795328.0,6979584.0,13680640.0,1463780450073.0,1.0
13795328.0,6979584.0,13680640.0,1463780450073.0,1.0
13795328.0,7094272.0,13811712.0,1463780450079.0,1.0
13795328.0,7094272.0,13811712.0,1463780450085.0,1.0
13795328.0,7094272.0,13811712.0,1463780450086.0,1.0
13795328.0,6995968.0,12976128.0,1463780450117.0,1.0
13795328.0,6995968.0,12976128.0,1463780450118.0,1.0
13795328.0,6995968.0,12976128.0,1463780450118.0,1.0
13795328.0,7028736.0,13402112.0,1463780450162.0,1.0
13795328.0,7028736.0,13402112.0,1463780450162.0,1.0
13795328.0,7028736.0,13402112.0,1463780450162.0,1.0
13795328.0,7045120.0,13549568.0,1463780450169.0,1.0
13795328.0,7045120.0,13549568.0,1463780450175.0,1.0
13795328.0,7045120.0,13549568.0,1463780450179.0,1.0
13795328.0,7061504.0,11042816.0,1463780450207.0,1.0
13795328.0,7061504.0,11042816.0,1463780450207.0,1.0
13795328.0,7061504.0,11042816.0,1463780450209.0,1.0
13795328.0,7045120.0,13516800.0,1463780450252.0,1.0
13795328.0,7045120.0,13516800.0,1463780450253.0,1.0
13795328.0,7045120.0,13516800.0,1463780450253.0,1.0
13795328.0,6881280.0,13467648.0,1463780450258.0,1.0
13795328.0,6881280.0,13467648.0,1463780450262.0,1.0
13795328.0,6881280.0,13467648.0,1463780450263.0,1.0
13795328.0,6848512.0,10289152.0,1463780450298.0,1.0
13795328.0,6848512.0,10289152.0,1463780450297.0,1.0
13795328.0,6848512.0,10289152.0,1463780450298.0,1.0
13795328.0,6848512.0,13615104.0,1463780450342.0,1.0
13795328.0,6848512.0,13615104.0,1463780450342.0,1.0
13795328.0,6848512.0,13615104.0,1463780450343.0,1.0
13795328.0,6848512.0,12779520.0,1463780450347.0,1.0
13795328.0,6848512.0,12779520.0,1463780450350.0,1.0
13795328.0,6848512.0,12779520.0,1463780450350.0,1.0
13795328.0,6864896.0,13516800.0,1463780450388.0,1.0
13795328.0,6864896.0,13516800.0,1463780450387.0,1.0
13795328.0,6864896.0,13516800.0,1463780450388.0,1.0
13795328.0,6864896.0,13729792.0,1463780450432.0,1.0
13795328.0,6864896.0,13729792.0,1463780450432.0,1.0
13795328.0,6864896.0,13729792.0,1463780450433.0,1.0
13795328.0,6832128.0,13451264.0,1463780450441.0,1.0
13795328.0,6832128.0,13451264.0,1463780450445.0,1.0
13795328.0,6832128.0,13451264.0,1463780450445.0,1.0
13795328.0,6864896.0,13271040.0,1463780450477.0,1.0
13795328.0,6864896.0,13271040.0,1463780450478.0,1.0
13795328.0,6864896.0,13271040.0,1463780450477.0,1.0
13795328.0,6864896.0,11993088.0,1463780450487.0,1.0
13795328.0,6864896.0,11993088.0,1463780450492.0,1.0
13795328.0,6864896.0,11993088.0,1463780450491.0,1.0
13795328.0,6864896.0,11599872.0,1463780450522.0,1.0
13795328.0,6864896.0,11599872.0,1463780450522.0,1.0
13795328.0,6864896.0,11599872.0,1463780450523.0,1.0
13795328.0,6864896.0,13451264.0,1463780450567.0,1.0
13795328.0,6864896.0,13451264.0,1463780450568.0,1.0
13795328.0,6864896.0,13451264.0,1463780450567.0,1.0
